SHOP,LATTITUDE,,LONGITUDE
ARCHEAN GROUP,13.035214,,80.248811
ATHITHAN FERTILIZERS,13.189657,,80.187462
SAKTHI SEEDS,13.036512,,80.228126
SUNDARAM AGRO CENTER,13.036808,,80.157312
SILVERLINE FERTILIZERS PVT. LTD.,12.996485,,80.257921
GOODWILL STORE,12.978295,,80.133476
NATIONAL FERTILIZERS LIMITED,13.052391,,80.224078
TUTICORIN ALKILI CHEMICAL FERTILIZERS LIMITED,13.042681,,80.24726
PEST 'N' GREEN CARE AGRO SERVICES,12.983524,,80.25962
ARUMUGAM ARGO AGENCY,12.924576,,80.114274
SUMA AGRO INDIA PVT LTD,13.04309,,80.235015
CHANDRAMOHAN ORGANIC FERTILIZERS,12.962493,,80.25604
SUSI SEEDS,13.036733,,80.228348
TR GLOBAL EXPERTS,13.102438,,80.098721
CHEMTROLS MARKETTING DIVISION,13.040434,,80.215248
SWETHA AGROTECH,13.148546,,80.292787
